"filename", "language", "TypeScript", "JSON", "CSS", "HTML", "SCSS", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/ticket-list/ticket-list.component.spec.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 1, 26, 150
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/ticket-list/ticket-list.component.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 8, 12, 69
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/ticket-view/ticket-view.component.css", "CSS", 0, 0, 105, 0, 0, 0, 0, 0, 28, 5, 138
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/ticket-view/ticket-view.component.html", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 23, 2, 104
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/ticket-view/ticket-view.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/ticket-view/ticket-view.component.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 17, 9, 93
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/update-tickets/update-tickets.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/update-tickets/update-tickets.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/update-tickets/update-tickets.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/update-tickets/update-tickets.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
